상품명,가격,별점,리뷰수,판매수량,온라인판매금액
"[박참봉부대찌개]송탄식 모듬 부대찌개 밀키트 1,460g (2~3인분) 간편식 / 의정부맛",25200,5.0,1,17,428400
[경복궁]한우사골곰탕 600gx4팩,37600,,0,17,639200
사옹원 바로먹는 한끼잡채 오리지널 210g 2개,10400,,0,17,176800
진하고 담백한 국내산 재첩국 500g*4팩,26500,,0,17,450500
[밀키트] 블루베리 부채살 로얄 정통스테이크 냉동 320G,11900,4.5,15,17,202300
[경복궁]영양 갈비탕 850gx4팩,70500,,0,16,1128000
홀리셔스 감탄도시락 5종10팩,47900,,0,16,766400
[800g x 2팩] 송가네 송탄 부대찌개 밀키트+라면사리,27900,5.0,3,15,418500
진하고 구수한 들깨수제비 5인분(들깨육수 5팩(팩당 500g)+생수제비 1kg),26500,,0,15,397500
[밀키트] 매콤한 닭볶음탕 1530G,15990,4.6,31,15,239850
일본카레 하우스 바몬드 카레 약간매운맛 230g,9990,,0,14,139860
진하고 구수한 들깨칼국수 5인분(들깨육수 5팩(팩당 500g)+생면 1kg),24500,,0,14,343000
[경복궁]칼집 LA갈비 600gx2팩,70500,,0,12,846000
[전철우] 장터국밥 600g x 2팩,11900,,0,12,142800
[경복궁]사골 육개장 600gx4팩,51700,,0,11,568700
[하남돼지집] 한돈 김치찜 x 2개,31800,5.0,1,11,349800
신사강 무청시래기 된장찌개 400g (1인분),4500,,0,11,49500
[꿀맛나는세상]특허낸 꿀맛칼집구이 400gX2팩,15900,,0,11,174900
[한양족발] 국내산 순살족발(뒷발) x 2개,23800,5.0,1,10,238000
[경복궁]영양 갈비탕 850gx3팩,45000,4.0,1,10,450000
사옹원 바로먹는 불고기 한끼잡채 210g 2개,12200,,0,10,122000
황태진국 밀키트 시원한 황태 해장국 800g,15900,,0,0,0
[사리원] 뼈 없는 갈비탕 600g x 4팩,24900,,0,0,0
[꿀맛나는세상]제주흑돼지 칼집 고추장구이+칼집구이 (각 400g/총 2팩),15900,,0,0,0
[경복궁]영양 갈비탕 850gx5팩,75000,,0,0,0
시티델리 오리지널 가라아게 450G,9990,4.6,163,0,0
